assessment_id,id_no,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,dec_long,dec_lat
184348276,78971369,Quercus pseudoverticillata,1,1,1,Christina Carrero,2020,IUCN,Extant (resident),,,,,,,PreservedSpecimen,0,116.75,5.9167
138506314,36336,Alseodaphne micrantha,4,1,1,Rogier de Kok,2020,GTA,Possibly Extinct,,,,,,,,0,103.8279217,2.30013493
138506314,36336,Alseodaphne micrantha,4,1,1,Rogier de Kok,2020,GTA,Possibly Extinct,,,,,,,,0,103.8498944,2.29464618
179083763,31715,Monoon glabrum,4,1,1,BGCI,2021,GTA,Possibly Extinct,,,,,,,PreservedSpecimen,1867,102.2475555,2.19689883
129336580,129332375,Palaquium bintuluense,4,1,1,"Wilkie, P., Pullan, M., Richardson, J., Armstrong, K., Buendia, J., Culverhouse, F., Elliott, A., Fabriani, F., Kumarage, L., Mackinder, B., Purvis, D., Solander, S., Woods, E. (2008-). Sapotaceae Resource Centre.",2019,"Wilkie, P., Pullan, M., Richardson, J., Armstrong, K., Buendia, J., Culverhouse, F., Elliott, A., Fabriani, F., Kumarage, L., Mackinder, B., Purvis, D., Olander, S., Woods, E. (2008-). Sapotaceae Resource Centre.",Possibly Extinct,,,"Nyabau, Nyabau, Bintulu",,,,PreservedSpecimen,,113.07,3.212778
124284402,117430705,Scaphochlamys atroviridis,4,1,1,ZRC,2019,ZRC,Possibly Extinct,,,"Kemaman, Bukit Kajang",,,,PreservedSpecimen,1935,103.291111,4.221944
124282597,117327762,Geostachys taipingensis,1,1,1,ZRC,2018,ZRC,Extant (resident), , , , , , ,,1911,100.986944,4.516944
138506314,36336,Alseodaphne micrantha,4,1,1,Rogier de Kok,2020,GTA,Possibly Extinct,,,,,,,,0,103.8361614,2.30287929
184348276,78971369,Quercus pseudoverticillata,1,1,1,Christina Carrero,2020,IUCN,Extant (resident),,,,,,,PreservedSpecimen,0,116.55,6.05
124282262,117321897,Etlingera newmanii,4,1,1,"Poulsen, A.D.",2018,IUCN,Possibly Extinct, , , , , , ,,1994,114.0333,4.2083
184348276,78971369,Quercus pseudoverticillata,1,1,1,Christina Carrero,2020,IUCN,Extant (resident),,,,,,,PreservedSpecimen,0,116.566666,5.983333
138506314,36336,Alseodaphne micrantha,4,1,1,Rogier de Kok,2020,GTA,Possibly Extinct,,,,,,,,0,103.8169354,2.31111236
138508020,37849,Endiandra scrobiculata,1,1,1,Rogier de Kok,2019,GTA,Extant (resident),,,,,,,,2019,101.7367624,3.70759109
129336580,129332375,Palaquium bintuluense,4,1,1,"Wilkie, P., Pullan, M., Richardson, J., Armstrong, K., Buendia, J., Culverhouse, F., Elliott, A., Fabriani, F., Kumarage, L., Mackinder, B., Purvis, D., Olander, S., Woods, E. (2008-). Sapotaceae Resource Centre.",2019,"Wilkie, P., Pullan, M., Richardson, J., Armstrong, K., Buendia, J., Culverhouse, F., Elliott, A., Fabriani, F., Kumarage, L., Mackinder, B., Purvis, D., Olander, S., Woods, E. (2008-). Sapotaceae Resource Centre.",Possibly Extinct,,,Nyabau,,,,PreservedSpecimen,,113.07,3.212778
145416291,145340054,Cinnamomum pachypes,1,1,1,GTA,2019,GTA,Extant (resident),,,,,,,,2019,101.616059,3.65953004
158544223,158540776,Musa azizii,4,1,1,Jack Plummer,2019,RBG Kew,Possibly Extinct,,,,,,,PreservedSpecimen,2004,113.632905,2.759554
138508020,37849,Endiandra scrobiculata,1,1,1,Rogier de Kok,2019,GTA,Extant (resident),,,,,,,PreservedSpecimen,1959,101.75,3.716667
136470806,136456478,Madhuca markleeana,1,1,1,ZRC,2018,ZRC,Extant (resident),,,Bukit Meluku,,"",,PreservedSpecimen,1995,110.695556,1.24
184348276,78971369,Quercus pseudoverticillata,1,1,1,Christina Carrero,2020,IUCN,Extant (resident),,,,,,,PreservedSpecimen,0,116.641667,5.954167
124282262,117321897,Etlingera newmanii,4,1,1,"Poulsen, A.D.",2018,IUCN,Possibly Extinct, , , , , , ,,1995,114.0333,4.2083
138508020,37849,Endiandra scrobiculata,1,1,1,Rogier de Kok,2019,GTA,Extant (resident),,,,,,,,2019,101.740539,3.70930411
179083763,31715,Monoon glabrum,4,1,1,BGCI,2021,GTA,Possibly Extinct,,,,,,,PreservedSpecimen,1901,100.3314048,5.41591488
145416631,145405805,Cinnamomum trintaense,1,1,1,GTA,2019,GTA,Extant (resident),,,,,,,,2019,101.1949404,4.3708474
124283427,117362844,Hornstedtia pusilla,4,1,1,ZRC,2019,ZRC,Possibly Extinct,,,"Kuala Tembeling, Jerantut",,,,PreservedSpecimen,1891,102.322778,4.071944
138506314,36336,Alseodaphne micrantha,4,1,1,Rogier de Kok,2020,GTA,Possibly Extinct,,,,,,,,0,103.838908,2.31660105
